NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 1
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 1
NAND 0 0 1 1
NAND 0 0 1 0
NAND 0 0 1 1
NAND 0 0 1 1
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 1
NAND 0 0 1 0
NAND 0 0 1 1
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 1
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 1
NAND 0 0 1 1
NAND 0 0 1 1
NAND 0 0 1 1
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 1
NAND 0 0 1 1
NAND 0 0 1 1
NAND 0 0 1 0
NAND 0 0 1 1
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 1
NAND 0 0 1 0
NAND 0 0 1 1
NAND 0 0 1 0
NAND 0 0 1 1
NAND 0 0 1 1
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 1
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 1
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 1
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 1
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 1
NAND 0 0 1 1
NAND 0 0 1 1
NAND 0 0 1 1
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 1
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 1
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 1
NAND 0 0 1 0
NAND 0 0 1 1
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 1
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 1
NAND 0 0 1 1
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 1
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 1
NAND 0 0 1 1
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 1
NAND 0 0 1 1
NAND 0 0 1 1
NAND 0 0 1 0
NAND 0 0 1 1
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 1
NAND 0 0 1 1
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 1
NAND 0 0 1 1
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 1
NAND 0 0 1 0
NAND 0 0 1 1
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 1
NAND 0 0 1 1
NAND 0 0 1 0
NAND 0 0 1 1
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 1
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 1
NAND 0 0 1 1
NAND 0 0 1 1
NAND 0 0 1 1
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 1
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 1
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 1
NAND 0 0 1 0
NAND 0 0 1 1
NAND 0 0 1 1
NAND 0 0 1 1
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 1
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 1
NAND 0 0 1 1
NAND 0 0 1 1
NAND 0 0 1 1
NAND 0 0 1 0
NAND 0 0 1 1
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 1
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 1
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 0 1 0
NAND 0 1 1 0
NAND 0 1 1 0
NAND 0 1 1 0
NAND 0 1 1 1
NAND 0 1 1 0
NAND 0 1 1 0
NAND 0 1 1 0
NAND 0 1 1 0
NAND 0 1 1 0
NAND 0 1 1 0
NAND 0 1 1 1
NAND 0 1 1 0
NAND 0 1 1 0
NAND 0 1 1 1
NAND 0 1 1 0
NAND 0 1 1 1
NAND 0 1 1 0
NAND 0 1 1 0
NAND 0 1 1 0
NAND 0 1 1 0
NAND 0 1 1 0
NAND 0 1 1 0
NAND 0 1 1 0
NAND 0 1 1 0
NAND 0 1 1 0
NAND 0 1 1 0
NAND 0 1 1 1
